Argon,Nitrogen,Helium,Hydrocarbon_concentration,Temperature,Time,Initial_mass_of_wire,Initial_mass_of_reactor,Increase_of_carbon_on_wire,Increase_of_carbon_in_reactor
1,0,0,40,900,10,0.0879,52.5736,0.0001,0.0001
1,0,0,40,900,30,0.0879,52.59,0.0002,0.0001
1,0,0,40,900,60,0.0919,52.8083,0.0003,0.0001
1,0,0,40,900,90,0.0929,46.9414,0.0004,0.0001
1,0,0,40,1100,10,0.0841,52.5502,0.0002,0.0001
1,0,0,40,1100,30,0.0876,51.7197,0.0003,0.0001
1,0,0,40,1100,60,0.0886,51.7636,0.0008,0.0001
1,0,0,40,1100,90,0.0911,52.2846,0.0012,0.0002
1,0,0,40,1300,10,0.0908,46.9311,0.0002,0.0001
1,0,0,40,1300,30,0.0877,51.8463,0.0004,0.0001
1,0,0,40,1300,60,0.0884,51.6989,0.001,0.0002
1,0,0,40,1300,90,0.0889,52.3224,0.0015,0.0003
1,0,0,70,900,10,0.0876,52.3228,0.0005,0.0001
1,0,0,70,900,30,0.0912,52.4073,0.0009,0.0001
1,0,0,70,900,60,0.0887,46.8158,0.0012,0.0001
1,0,0,70,900,90,0.0886,51.8101,0.0015,0.0001
1,0,0,70,1100,10,0.0524,47.0284,0.0007,0.0001
1,0,0,70,1100,30,0.0683,47.0263,0.0015,0.0001
1,0,0,70,1100,60,0.0567,47.0363,0.0022,0.0002
1,0,0,70,1100,90,0.0569,47.0426,0.0036,0.0003
1,0,0,70,1300,10,0.0665,47.0426,0.0012,0.0001
1,0,0,70,1300,30,0.0627,46.972,0.0018,0.0002
1,0,0,70,1300,60,0.0528,47.0359,0.0028,0.0004
1,0,0,70,1300,90,0.0652,47.035,0.0053,0.0006
0,1,0,40,900,10,0.0879,52.5736,0.0001,0.0001
0,1,0,40,900,30,0.0879,52.59,0.0001,0.0001
0,1,0,40,900,60,0.0919,52.8083,0.0002,0.0001
0,1,0,40,900,90,0.0929,46.9414,0.0006,0.0001
0,1,0,40,1100,10,0.0841,52.5502,0.0002,0.0001
0,1,0,40,1100,30,0.0876,51.7197,0.0006,0.0001
0,1,0,40,1100,60,0.0886,51.7636,0.0012,0.0001
0,1,0,40,1100,90,0.0911,52.2846,0.002,0.0002
0,1,0,40,1300,10,0.0908,46.9311,0.0004,0.0001
0,1,0,40,1300,30,0.0877,51.8463,0.0008,0.0001
0,1,0,40,1300,60,0.0884,51.6989,0.0015,0.0002
0,1,0,40,1300,90,0.0889,52.3224,0.0028,0.0003
0,1,0,70,900,10,0.0876,52.3228,0.0001,0.0001
0,1,0,70,900,30,0.0912,52.4073,0.0004,0.0001
0,1,0,70,900,60,0.0887,46.8158,0.0006,0.0001
0,1,0,70,900,90,0.0886,51.8101,0.0008,0.0001
0,1,0,70,1100,10,0.0524,47.0284,0.0002,0.0001
0,1,0,70,1100,30,0.0683,47.0263,0.0011,0.0001
0,1,0,70,1100,60,0.0567,47.0363,0.0018,0.0002
0,1,0,70,1100,90,0.0569,47.0426,0.0032,0.0003
0,1,0,70,1300,10,0.0665,47.0426,0.0004,0.0001
0,1,0,70,1300,30,0.0627,46.972,0.0018,0.0002
0,1,0,70,1300,60,0.0528,47.0359,0.0028,0.0003
0,1,0,70,1300,90,0.0652,47.035,0.0049,0.0002
0,0,1,40,900,10,0.0879,52.5736,0.0001,0.0001
0,0,1,40,900,30,0.0859,52.59,0.0001,0.0001
0,0,1,40,900,60,0.0879,52.8083,0.0003,0.0001
0,0,1,40,900,90,0.0859,46.9414,0.0007,0.0001
0,0,1,40,1100,10,0.0876,52.5502,0.0001,0.0001
0,0,1,40,1100,30,0.0872,51.7197,0.0004,0.0001
0,0,1,40,1100,60,0.0885,51.7636,0.0008,0.0001
0,0,1,40,1100,90,0.0884,52.2846,0.0013,0.0002
0,0,1,40,1300,10,0.0852,46.9311,0.0002,0.0001
0,0,1,40,1300,30,0.0876,51.8463,0.0007,0.0001
0,0,1,40,1300,60,0.0873,51.6989,0.0012,0.0002
0,0,1,40,1300,90,0.0886,52.3224,0.0019,0.0003
0,0,1,70,900,10,0.0901,52.3228,0.0001,0.0001
0,0,1,70,900,30,0.0846,52.4073,0.0005,0.0001
0,0,1,70,900,60,0.0857,46.8158,0.0008,0.0001
0,0,1,70,900,90,0.0854,51.8101,0.0011,0.0001
0,0,1,70,1100,10,0.0876,47.0284,0.0002,0.0001
0,0,1,70,1100,30,0.0866,47.0263,0.0009,0.0001
0,0,1,70,1100,60,0.0901,47.0363,0.0021,0.0002
0,0,1,70,1100,90,0.0875,47.0426,0.0036,0.0003
0,0,1,70,1300,10,0.0859,47.0426,0.0005,0.0001
0,0,1,70,1300,30,0.0756,46.972,0.0017,0.0002
0,0,1,70,1300,60,0.0872,47.0359,0.0039,0.0004
0,0,1,70,1300,90,0.0877,47.035,0.0052,0.0006
0,0,0,100,900,10,0.0653,47.0356,0.0001,0.0001
0,0,0,100,900,30,0.0701,47.0356,0.0008,0.0001
0,0,0,100,900,60,0.0616,47.0356,0.0013,0.0001
0,0,0,100,900,90,0.0684,47.0356,0.0029,0.0001
0,0,0,100,1100,10,0.0651,47.0356,0.0005,0.0001
0,0,0,100,1100,30,0.0661,47.0356,0.0015,0.0001
0,0,0,100,1100,60,0.0744,47.0356,0.0041,0.0001
0,0,0,100,1100,90,0.0636,47.0356,0.0069,0.0001
0,0,0,100,1300,10,0.0692,47.0356,0.0008,0.0001
0,0,0,100,1300,30,0.0711,47.0356,0.0025,0.0001
0,0,0,100,1300,60,0.0727,47.0356,0.0041,0.0001
0,0,0,100,1300,90,0.0679,47.0356,0.0086,0.0001
